Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
41160292,Exhalation: Stories,Ted Chiang,"Chiang, Ted",,"=""""","=""""",3,4.27,Knopf,Kindle Edition,352,2019,2019,,2020/01/06,"2020, hardcover, spl","2020 (#1), hardcover (#35), spl (#53)",read,"3.5/5 - I think perhaps my expectations were set too high from Ted Chiang's previous collection. That, and I had already read a few of these stories somewhere else. Still, lovely reads and I blew through it pretty quickly (probably since a few were already familiar from past reading).",,,1,,,0,,,,,
45431089,The Boys Omnibus Vol. 5,Garth Ennis,"Ennis, Garth",Darick Robertson,"=""1524113344""","=""9781524113346""",0,4.14,Dynamite Entertainment,Paperback,420,2019,2013,,2019/11/21,,,read,,,,1,,,0,,,,,
44329099,The Boys Omnibus Vol. 4,Garth Ennis,"Ennis, Garth",Darick Robertson,"=""1524111406""","=""9781524111403""",0,3.97,Dynamite Entertainment,Paperback,328,2019,2012,,2019/11/21,,,read,,,,1,,,0,,,,,
40277723,"Unnatural, Vol. 1: Awakening",Mirka Andolfo,"Andolfo, Mirka","Milo Manara, Stanley ""Artgerm"" Lau, Matteo Scalera, Bengal","=""1534309829""","=""9781534309821""",0,3.90,Image Comics,Paperback,112,2018,2016,,2019/11/21,,,read,,,,1,,,0,,,,,
40919945,"Immortal Hulk, Volume 2: The Green Door",Al Ewing,"Ewing, Al","Joe Bennett, Lee Garbett, Martin Simmonds","=""1302912569""","=""9781302912567""",0,4.13,Marvel,Paperback,112,2019,2019,,2019/11/20,,,read,,,,1,,,0,,,,,
39818775,"Immortal Hulk, Volume 1: Or is he Both?",Al Ewing,"Ewing, Al",Joe Bennett,"=""1302912550""","=""9781302912550""",0,4.11,Marvel,Paperback,128,2018,2018,,2019/11/20,,,read,,,,1,,,0,,,,,
43211322,"The Wild Storm, Vol. 4",Warren Ellis,"Ellis, Warren",Jon Davis-Hunt,"=""1401292712""","=""9781401292713""",0,4.10,DC Comics,Paperback,160,2019,2019,,2019/11/20,,,read,,,,1,,,0,,,,,
40519876,"The Wild Storm, Vol. 3",Warren Ellis,"Ellis, Warren",Jon Davis-Hunt,"=""1401285279""","=""9781401285272""",0,4.08,DC Comics,Paperback,160,2019,2019,,2019/11/20,,,read,,,,1,,,0,,,,,
43106808,The Boys Omnibus Vol. 3,Garth Ennis,"Ennis, Garth","Darick Robertson, John McCrea","=""1524110035""","=""9781524110031""",0,4.13,Dynamite Entertainment,Paperback,344,2019,2010,,2019/11/20,,,read,,,,1,,,0,,,,,
42785689,The Boys Omnibus Vol. 2,Garth Ennis,"Ennis, Garth",Darick Robertson,"=""1524109703""","=""9781524109707""",0,4.15,Dynamite Entertainment,Paperback,376,2019,2009,,2019/11/20,,,read,,,,1,,,0,,,,,
